%  dbname: ../adcpdb/a_sp  output: a_sp_npings.txt  step_size= 1  year_base= 2024
%
%       Time        NPings   NSecs

  122.116597          78        180.0
  122.118692          78        180.0
  122.120752          77        180.0
  122.122847          78        180.0
  122.124942          78        180.0
  122.127002          77        180.0
  122.129109          78        180.0
  122.131181          77        180.0
  122.133264          78        180.0
  122.135359          78        180.0
  122.137419          77        180.0
  122.139514          78        180.0
  122.141609          78        180.0
  122.143669          77        180.0
  122.145764          78        180.0
  122.147847          78        180.0
  122.149942          78        180.0
  122.152002          77        180.0
  122.154097          78        180.0
  122.156192          78        180.0
  122.158252          77        180.0
  122.160347          78        180.0
  122.162442          78        180.0
  122.164502          77        180.0
  122.166597          78        180.0
  122.168681          78        180.0
  122.170775          78        180.0
  122.172847          77        180.0
  122.174931          78        180.0
  122.177025          78        180.0
  122.179097          77        180.0
  122.181169          77        180.0
  122.183264          78        180.0
  122.185347          78        180.0
  122.187431          78        180.0
  122.189514          78        180.0
  122.191609          78        180.0
  122.193681          77        180.0
  122.195764          78        180.0
  122.197847          78        180.0
  122.199942          78        180.0
  122.202002          77        180.0
  122.204097          78        180.0
  122.206181          78        180.0
  122.208264          78        180.0
  122.210347          78        180.0
  122.212442          78        180.0
  122.214502          77        180.0
  122.216597          78        180.0
  122.218681          77        180.0
  122.220764          78        180.0
  122.222847          78        180.0
  122.224919          77        180.0
  122.227014          78        180.0
  122.229109          78        180.0
  122.231169          77        180.0
  122.233264          78        180.0
  122.235359          78        180.0
  122.237419          77        180.0
  122.239514          78        180.0
  122.241586          78        180.0
  122.243681          78        180.0
  122.245775          78        180.0
  122.247836          77        180.0
  122.249919          78        180.0
  122.252002          77        180.0
  122.254097          78        180.0
  122.256181          78        180.0
  122.258275          78        180.0
  122.260336          77        180.0
  122.262431          78        180.0
  122.264525          78        180.0
  122.266586          77        180.0
  122.268681          78        180.0
  122.270775          78        180.0
  122.272836          77        180.0
  122.274931          78        180.0
  122.277002          77        180.0
  122.279097          78        180.0
  122.281181          78        180.0
  122.283252          77        180.0
  122.285347          78        180.0
  122.287431          78        180.0
  122.289525          78        180.0
  122.291586          77        180.0
  122.293681          78        180.0
  122.295764          78        180.0
  122.297859          78        180.0
  122.299919          77        180.0
  122.302002          78        180.0
  122.304097          78        180.0
  122.306192          78        180.0
  122.308252          77        180.0
  122.310347          78        180.0
  122.312442          78        180.0
  122.314514          77        180.0
  122.316597          78        180.0
  122.318669          77        180.0
  122.320764          78        180.0
  122.322859          78        180.0
  122.324919          77        180.0
  122.327014          78        180.0
  122.329109          78        180.0
  122.331169          77        180.0
  122.333264          78        180.0
  122.335359          78        180.0
  122.337419          77        180.0
  122.339514          78        180.0
  122.341609          78        180.0
  122.343669          77        180.0
  122.345764          78        180.0
  122.347847          78        180.0
  122.349919          77        180.0
  122.352014          78        180.0
  122.354097          78        180.0
  122.356169          77        180.0
  122.358264          78        180.0
  122.360359          78        180.0
  122.362419          77        180.0
  122.364502          78        180.0
  122.366597          78        180.0
  122.368669          77        180.0
  122.370764          78        180.0
  122.372859          78        180.0
  122.374931          77        180.0
  122.377025          78        180.0
  122.379086          77        180.0
  122.381169          78        180.0
  122.383264          78        180.0
  122.385359          78        180.0
  122.387442          78        180.0
  122.389502          77        180.0
  122.391597          78        180.0
  122.393681          77        180.0
  122.395764          77        180.0
  122.397859          77        180.0
  122.399931          77        180.0
  122.402014          76        180.0
  122.404109          76        180.0
  122.406192          76        180.0
  122.408252          76        180.0
  122.410336          76        180.0
  122.412431          77        180.0
  122.414514          76        180.0
  122.416609          77        180.0
  122.418681          74        180.0
  122.420764          75        180.0
  122.422847          75        180.0
  122.424931          75        180.0
  122.427002          73        180.0
  122.429097          77        180.0
  122.431169          76        180.0
  122.433264          77        180.0
  122.435359          77        180.0
  122.437419          77        180.0
  122.439525          78        180.0
