#decimal_day   amplitude     phase
  123.9098       0.991       -0.531
  123.9119         nan          nan
  123.9140       1.004       -1.254
  123.9202         nan          nan
  123.9307         nan          nan
  123.9369       0.969        1.082
  123.9390       0.965        0.839
  123.9411         nan          nan
  123.9432         nan          nan
  123.9452         nan          nan
  123.9515         nan          nan
  123.9588         nan          nan
  123.9619         nan          nan
  123.9682         nan          nan
  123.9744         nan          nan
  123.9765         nan          nan
  123.9786         nan          nan
  123.9817         nan          nan
  123.9890         nan          nan
  123.9952         nan          nan
  123.9973         nan          nan
  123.9994         nan          nan
  124.0015         nan          nan
  124.0036         nan          nan
  124.0140         nan          nan
  124.0244         nan          nan
  124.0265         nan          nan
  124.0286         nan          nan
  124.0307         nan          nan
  124.0327         nan          nan
  124.0504         nan          nan
  124.0681         nan          nan
  124.3400         nan          nan
  124.6119       0.991        1.137
  124.6140       1.013        0.168
  124.6161       1.021        0.535
  124.6181       1.022        0.468
  124.6202       1.012        1.655
  124.6223       1.007       -0.062
  124.6244       1.043        1.425
  124.6265       1.027        0.342
  124.6286       1.030        0.237
  124.6307       1.017        0.283
  124.6327         nan          nan
  124.6348         nan          nan
  124.6369       1.008        0.711
  124.6390         nan          nan
  124.6411       1.029       -0.566
  124.6431       1.008        0.000
  124.6452       1.044        0.162
  124.6473       1.030        0.096
  124.6494       1.021        0.386
  124.6515       1.008        0.157
  124.6536       1.027        0.225
  124.6556       1.020       -0.242
  124.6577       1.021        1.417
  124.6598       1.029        1.008
  124.6619       1.026       -0.180
  124.6640       1.023        0.419
  124.6661       1.015        0.488
  124.6682       1.019        0.197
  124.6702       1.003        0.152
  124.6723       1.014        0.318
  124.6744       1.014        0.165
  124.6765       1.015        0.281
  124.6786       1.015        0.063
  124.6807       1.009       -0.417
  124.6827       1.023       -0.051
  124.6848       1.014        0.296
  124.6869       1.009        0.169
  124.6890       1.015       -0.510
  124.6911       1.024        0.276
  124.6932       1.005        0.070
  124.6952       1.016        0.212
  124.6973       1.015       -0.149
  124.6994       1.007        0.309
  124.7015       1.015        0.006
  124.7036       1.006        0.084
  124.7057       1.021        0.049
  124.7077       1.017       -0.206
  124.7098       1.013        0.009
  124.7119       1.014       -0.128
  124.7140       1.009        0.111
  124.7161       1.013        0.216
  124.7182       1.014       -0.091
  124.7202       1.022        0.028
  124.7223       1.007        0.050
  124.7244       1.009        0.040
  124.7265       1.024       -0.359
  124.7286         nan          nan
  124.7306         nan          nan
  124.7327         nan          nan
  124.7348         nan          nan
  124.7369         nan          nan
  124.7390         nan          nan
  124.7411         nan          nan
  124.7431         nan          nan
  124.7452         nan          nan
  124.7473         nan          nan
  124.7494         nan          nan
  124.7515         nan          nan
  124.7536         nan          nan
  124.7557         nan          nan
  124.7577       1.017        0.077
  124.7598       1.028       -0.350
  124.7619       1.020       -0.115
  124.7640       1.009        0.039
  124.7661       1.017       -0.012
  124.7681       1.017        0.491
  124.7702       1.015        0.673
  124.7723       1.020        0.216
  124.7744       1.018        0.251
  124.7765       1.012        0.493
  124.7786       1.019        0.169
  124.7806       1.019        0.178
  124.7827       1.021       -0.095
  124.7848       1.018        0.062
  124.7869       1.018       -0.169
  124.7890       1.017       -0.471
  124.7911       1.028       -0.625
  124.7932       1.026       -0.329
  124.7952       1.023       -1.169
  124.7973       1.013        0.149
  124.7994       1.008        0.392
  124.8015       1.007        0.709
  124.8036         nan          nan
  124.8057       0.988       -1.050
  124.8077       1.023        1.127
  124.8098       1.019       -0.825
  124.8150         nan          nan
  124.8202       0.997        0.870
  124.8681         nan          nan
  124.9161         nan          nan
  124.9181         nan          nan
  124.9202         nan          nan
  124.9223         nan          nan
  124.9244         nan          nan
  124.9265         nan          nan
  124.9286         nan          nan
  124.9307         nan          nan
  124.9327         nan          nan
  124.9348         nan          nan
  124.9369         nan          nan
  124.9390         nan          nan
  124.9411         nan          nan
  124.9431         nan          nan
  124.9452         nan          nan
  124.9473         nan          nan
  124.9494         nan          nan
  124.9515         nan          nan
  124.9536         nan          nan
  124.9556         nan          nan
  124.9577         nan          nan
  124.9598         nan          nan
  124.9619         nan          nan
  124.9640         nan          nan
  124.9661         nan          nan
  124.9681         nan          nan
  124.9702         nan          nan
  124.9723         nan          nan
  124.9807         nan          nan
  124.9900         nan          nan
  124.9942         nan          nan
  124.9973         nan          nan
  124.9994         nan          nan
  125.0015         nan          nan
  125.0046         nan          nan
  125.0077         nan          nan
  125.0098         nan          nan
  125.0119         nan          nan
  125.0150         nan          nan
  125.0181         nan          nan
  125.0202         nan          nan
  125.0223         nan          nan
  125.0254         nan          nan
  125.0296         nan          nan
  125.0338         nan          nan
  125.1317         nan          nan
  125.9168         nan          nan
  126.6071       1.013        0.641
  126.6091       1.009       -0.437
  126.6112       1.053        0.833
  126.6175         nan          nan
  126.6237         nan          nan
  126.6258         nan          nan
  126.6279         nan          nan
  126.6300         nan          nan
  126.6321         nan          nan
  126.6341         nan          nan
  126.6362         nan          nan
  126.6383         nan          nan
  126.6404         nan          nan
  126.6425         nan          nan
  126.6446         nan          nan
  126.6466         nan          nan
  126.6487         nan          nan
  126.6508         nan          nan
  126.6529         nan          nan
  126.6550         nan          nan
  126.6571         nan          nan
  126.6591         nan          nan
  126.6612         nan          nan
  126.6633         nan          nan
  126.6654         nan          nan
  126.6675         nan          nan
  126.6696         nan          nan
  126.6716         nan          nan
  126.6737         nan          nan
  126.6758         nan          nan
  126.6779         nan          nan
  126.6800         nan          nan
  126.6821         nan          nan
  126.6841         nan          nan
  126.6862         nan          nan
  126.6883       1.038        1.422
  126.6904       1.013        0.161
  126.6925       1.008       -0.074
  126.6946       1.018        0.156
  126.6966       1.015        0.409
  126.6987       1.009       -0.431
  126.7008         nan          nan
  126.7029         nan          nan
  126.7050         nan          nan
  126.7070       1.018        0.420
  126.7091       1.007        0.019
  126.7112       1.017        0.294
  126.7133       1.023        0.611
  126.7154         nan          nan
  126.7175         nan          nan
  126.7196         nan          nan
  126.7216         nan          nan
  126.7237         nan          nan
  126.7258         nan          nan
  126.7279         nan          nan
  126.7300         nan          nan
  126.7320         nan          nan
  126.7341         nan          nan
  126.7362         nan          nan
  126.7383         nan          nan
  126.7404         nan          nan
  126.7425         nan          nan
  126.7446       1.005        0.007
  126.7466         nan          nan
  126.7487         nan          nan
  126.7508         nan          nan
  126.7529         nan          nan
  126.7550         nan          nan
  126.7571         nan          nan
  126.7591         nan          nan
